Name,Link to soldier on AWM,Birth date,Date of birth,Birth place,Date and unit at enlistment (ORs),Final rank,Date of discharge,Conflict,Unit,Units,Date of embarkation,Embarkation date,Service number,Death date,Date of death,Death place,Place of death
Private Percy Anderson,https://www.awm.gov.au/people/P10636176/#biography,29 March 1895,1895-03-29,"Australia: New South Wales, Boggabri",none,Private,none,none,none,none,1915-09-30,none,"1229 - First World War, 1914-1918N390214 - Second World War, 1939-1945",none,none,none,none
Private Percy Anderson,https://www.awm.gov.au/people/P10501079/#biography,1893,1893,"Australia: Queensland, Stanthorpe",none,Private,none,none,none,none,1916-10-27,none,"6704 - First World War, 1914-1918",none,none,none,none
Private Percy Alfred Anderson,https://www.awm.gov.au/people/P10677827/#biography,3 March 1900,1900-03-03,"Australia: Tasmania, Latrobe",1918-10-02,Private,1918-12-21,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Arthur George Andrews,https://www.awm.gov.au/people/P10359141/#biography,1884,1884,"Australia: New South Wales, Milton",none,Private,none,none,none,none,1915-08-16,none,"2554 - First World War, 1914-1918",none,none,none,none
Private Thomas Leslie Andrews,https://www.awm.gov.au/people/P10593975/#biography,1891,1891,"Australia: New South Wales, Termeil",none,Private,none,none,none,none,1916-08-16,none,"2124 - First World War, 1914-1918",none,none,none,none
Private Walter Ernest Andrews,https://www.awm.gov.au/people/P10387137/#biography,1889,1889,"Australia: New South Wales, Milton",none,Private,none,none,none,none,1916-10-21,none,"6610 - First World War, 1914-1918",1951,1951,"Australia: New South Wales, Casino",none
Private Eric Angie,https://www.awm.gov.au/people/P10677828/#biography,1891,1891,"Australia: South Australia, Point Pierce",1915-01-27,Private,1915-06-15,"First World War, 1914-1918","Depot
Light Horse",none,none,none,none,none,none,none,none
Private Frank Angie,https://www.awm.gov.au/people/P10677892/#biography,1893,1893,"Australia: South Australia, Point Pierce",none,Private,none,none,none,none,none,none,"S12889 - First World War, 1914-1918",none,none,none,none
Private Henry Augustus Anolock,https://www.awm.gov.au/people/P10533547/#biography,none,none,"Australia: New South Wales, Sydney, Rooty Hill",none,Private,none,none,none,none,1917-10-31,none,"3594 - First World War, 1914-1918",none,none,none,none
Private Geoffrey Raymond Downward Archer,https://www.awm.gov.au/people/P10677611/#biography,none,none,"Australia: Tasmania, Deloraine",none,Private,none,none,12th Australian Infantry Battalion,none,1916-09-30,none,"6472 - First World War, 1914-1918",6 April 1917,1917-04-06,France,none
Private James Arden,https://www.awm.gov.au/people/P10677829/#biography,1873,1873,"Australia: Victoria, Casterton",1916-03-27,Private,1916-10-09,none,39th Australian Infantry Battalion,none,none,none,"573 - First World War, 1914-1918",13 June 1935,1935-06-13,none,none
Private Francis Edward Armstrong,https://www.awm.gov.au/people/P10620147/#biography,none,none,"Australia: Western Australia, Katanning",none,Private,none,none,none,none,1917-06-29,none,"3380 - First World War, 1914-1918",none,none,none,none
Private Charles Buller Ashby,https://www.awm.gov.au/people/P10677830/#biography,5 November 1899,1899-11-05,"Australia: New South Wales, Coonabarabran",1918-07-09,Private,1918-07-11,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Henry Ernest John Ashby,https://www.awm.gov.au/people/P10644958/#biography,none,none,"Australia: New South Wales, Sydney",none,Private,none,none,none,none,1917-02-19,none,"497 - First World War, 1914-1918",none,none,none,none
Gunner Burnet William Ashmore,https://www.awm.gov.au/people/P10376948/#biography,none,none,"Australia: New South Wales, Gunbar",none,Gunner,none,none,none,none,1916-10-17,none,"28945 - First World War, 1914-1918",none,none,none,none
Private Henry James Ashmore,https://www.awm.gov.au/people/P10677833/#biography,12 October 1874,1874-10-12,"Australia: New South Wales, Cowra",1918-08-06,Private,1918-09-03,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Stanley Atkinson,https://www.awm.gov.au/people/P10677932/#biography,December 1899,1899-12,"Australia: New South Wales, Cummeragunja",1918-06-13,none,1918-07-24,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
William Vibiam Atkinson,https://www.awm.gov.au/people/P10681457/#biography,1898,1898,"Australia: New South Wales, Moama, Cummeragunja",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
William John Austin,https://www.awm.gov.au/people/P10678251/#biography,1898,1898,"Australia: Victoria, Framlingham",none,none,none,none,none,none,none,none,"V45510 - First World War, 1914-1918",none,none,none,none
Sapper David Aya,https://www.awm.gov.au/people/P10358035/#biography,4 August 1888,1888-08-04,"Australia: Queensland, North Queensland, Townsville",none,Sapper,none,none,none,none,1917-11-26,none,"8071 - First World War, 1914-1918",none,none,none,none
Private Charles Baird,https://www.awm.gov.au/people/P10677832/#biography,1889,1889,"Australia: Queensland, North Queensland, Cooktown",none,Private,none,none,none,none,1916-07-22,none,"1234 - First World War, 1914-1918R1234A - First World War, 1914-1918",none,none,none,none
Private Norman Baird,https://www.awm.gov.au/people/P10476651/#biography,1887,1887,"Australia: Queensland, North Queensland, Cooktown",none,Private,none,none,none,none,1917-10-31,none,"7685 - First World War, 1914-19187685a - First World War, 1914-1918",none,none,none,none
Private Carl John Baker,https://www.awm.gov.au/people/P10334605/#biography,1886,1886,"Australia: Queensland, North Queensland, Innisfail",none,Private,none,none,15th Australian Infantry Battalion,none,none,none,"7744 - First World War, 1914-1918",13 August 1918,1918-08-13,France,none
Private Charles Baker,https://www.awm.gov.au/people/P10647947/#biography,none,none,"Australia: New South Wales, Collarenebri",none,Private,none,none,none,none,1916-11-23,none,"3024 - First World War, 1914-1918",none,none,none,none
Private Harry Baker,https://www.awm.gov.au/people/P10677836/#biography,1896,1896,"Australia: Queensland, North Queensland, Coen",1917-05-14,Private,1917-06-13,none,none,none,none,none,"19600 - First World War, 1914-1918",none,none,none,none
Private Jack Baker,https://www.awm.gov.au/people/P10477237/#biography,1890,1890,"Australia: Western Australia, Mundijong",none,Private,none,none,none,none,1916-10-28,none,"4023 - First World War, 1914-19184150 - First World War, 1914-1918",none,none,none,none
Private John Henry Baker,https://www.awm.gov.au/people/P10333242/#biography,1897,1897,"Australia: New South Wales, Tweed Valley",none,Private,none,none,3rd Australian Pioneer Battalion,none,none,none,"1002 - First World War, 1914-1918",27 June 1917,1917-06-27,Belgium,none
Private Thomas Henry Balcombe,https://www.awm.gov.au/people/P10579693/#biography,1897,1897,"Australia: New South Wales, Batemans Bay",none,Private,none,none,none,none,1916-11-17,none,"6850 - First World War, 1914-1918",11 November 1968,1968-11-11,none,none
Private Frank Balser,https://www.awm.gov.au/people/P10633322/#biography,23 September 1890,1890-09-23,"Australia: Queensland, North Queensland, Cooktown",none,Private,none,none,5th Australian Light Horse Regiment,none,1918-03-02,none,"3469 - First World War, 1914-1918Q90407 - Second World War, 1939-1945",none,none,none,none
James Bamblett,https://www.awm.gov.au/people/P10681461/#biography,none,none,"Australia: New South Wales, Brungle",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Frederick Joseph Barber,https://www.awm.gov.au/people/P10677847/#biography,1877,1877,"Australia: New South Wales, Windsor",1915-11-27,Private,1916-02-05,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Percy Barber,https://www.awm.gov.au/people/P10681462/#biography,1882,1882,"Australia: New South Wales, Moama, Maloga",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private George Barker,https://www.awm.gov.au/people/P10677848/#biography,1894,1894,"Australia: Queensland, North Queensland, Mackay",1917-08-25,Private,1917-11-13,none,none,none,none,none,"179 - First World War, 1914-1918Q21226 - First World War, 1914-1918",none,none,none,none
Private George Henry Beale,https://www.awm.gov.au/people/P10290643/#biography,28 November 1904,1904-11-28,"Australia: New South Wales, Quirindi",none,Private,none,none,2/20th Australian Infantry Battalion,none,none,none,"NX31660 - Second World War, 1939-1945",28 May 1943,1943-05-28,Japan,none
Private Robert Beale,https://www.awm.gov.au/people/P10568544/#biography,1894,1894,"Australia: New South Wales, Murrurundi",none,Private,none,none,none,none,1915-10-23,none,"1741 - First World War, 1914-1918",none,none,none,none
Private William Beale,https://www.awm.gov.au/people/P10490354/#biography,1896,1896,"Australia: New South Wales, Werris Creek",none,Private,none,none,none,none,1917-05-10,none,"3019 - First World War, 1914-1918",none,none,none,none
Robert Henry Beck,https://www.awm.gov.au/people/P10678255/#biography,1895,1895,"Australia: New South Wales, Sydney",none,none,none,none,none,none,none,none,"1007 - First World War, 1914-1918",none,none,none,none
Bertie Beckett,https://www.awm.gov.au/people/P10678256/#biography,1892,1892,"Australia: Queensland, Barambah",none,none,none,none,none,none,none,none,"Q19608 - First World War, 1914-1918",none,none,none,none
Private Thomas William Leslie Bell,https://www.awm.gov.au/people/P10635602/#biography,1883,1883,"Australia: New South Wales, Dalton",none,Private,none,none,"7th Australian Light Horse Regiment
10th Australian Field Artillery Brigade",none,1915-12-20,none,"1702 - First World War, 1914-1918",none,none,none,none
Private George Bennett,https://www.awm.gov.au/people/P10677592/#biography,none,none,"Australia: New South Wales, Mungundi",none,Private,none,none,none,none,1916-11-03,none,"4243 - First World War, 1914-1918",none,none,none,none
Private Jonas Abe Rowley Bennett,https://www.awm.gov.au/people/P10671043/#biography,none,none,"Australia: New South Wales, Pilliga",none,Private,none,none,none,none,1916-03-08,none,"4958 - First World War, 1914-1918",none,none,none,none
Private Albert Beulah,https://www.awm.gov.au/people/P10677594/#biography,none,none,"Australia: New South Wales, Forbes",none,Private,none,none,none,none,1917-11-02,none,"3467 - First World War, 1914-1918",none,none,none,none
Private John Eustace Bews,https://www.awm.gov.au/people/P10431146/#biography,1 May 1886,1886-05-01,"Australia: South Australia, Wallaroo",none,Private,none,none,none,none,1917-10-30,none,"7591 - First World War, 1914-1918",20 August 1949,1949-08-20,none,none
Private Edmund Bilney,https://www.awm.gov.au/people/P10677849/#biography,1896,1896,"Australia: South Australia, Fowlers Bay",1917-06-25,Private,1917-08-20,none,none,none,none,none,"S12813 - First World War, 1914-1918",none,none,none,none
Private David Henry Bindoff,https://www.awm.gov.au/people/P10677636/#biography,1898,1898,"Australia: New South Wales, Sydney",none,Private,none,none,19th Australian Infantry Battalion,none,1915-09-30,none,"2249 - First World War, 1914-1918",27 July 1916,1916-07-27,France,none
Private Edgar George Bindoff,https://www.awm.gov.au/people/P10677637/#biography,1896,1896,"Australia: New South Wales, Sydney, Woollahra",none,Private,none,none,1st Australian Infantry Battalion,none,1915-04-10,none,"1592 - First World War, 1914-19181720 - First World War, 1914-1918",13 September 1915,1915-09-13,Egypt: Alexandria,none
Private Harold Edward Bindoff,https://www.awm.gov.au/people/P10677678/#biography,1893,1893,"Australia: New South Wales, Sydney",none,Private,none,none,"6th Australian Broad Gauge Railway Operating Company
19th Australian Infantry Battalion",none,1915-09-30,none,"2115 - First World War, 1914-1918",13 May 1955,1955-05-13,none,none
Private Charles Binwater,https://www.awm.gov.au/people/P10677850/#biography,1895,1895,"Australia: Queensland, North Queensland, Rockhampton",1917-08-20,Private,1917-08-21,none,none,none,none,none,"S12813 - First World War, 1914-1918",none,none,none,none
Private Charles Turner Bird,https://www.awm.gov.au/people/P10677680/#biography,none,none,none,none,Private,none,none,none,none,1916-11-17,none,"6709 - First World War, 1914-1918",none,none,none,none
James Thomas Blacklock,https://www.awm.gov.au/people/P10677851/#biography,1884,1884,"Australia: New South Wales, Coonamble",1918-05-21,none,1918-05-21,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Alfred John Blackman,https://www.awm.gov.au/people/P10677030/#biography,1890,1890,"Australia: Victoria, Maryborough",none,Private,none,none,41st Australian Infantry Battalion,none,1917-02-07,none,"3173 - First World War, 1914-1918",8 October 1917,1917-10-08,France,none
Lance Corporal Charles Tednee Blackman,https://www.awm.gov.au/people/P10677681/#biography,none,none,"Australia: Queensland, Childers",none,Lance Corporal,none,none,none,none,1915-10-21,none,"2584 - First World War, 1914-1918",none,none,none,none
Private Thomas Blackman,https://www.awm.gov.au/people/P10677682/#biography,none,none,"Australia: Queensland, Gayndah",none,Private,none,none,none,none,1917-02-07,none,"3174 - First World War, 1914-1918",none,none,none,none
Private Arthur Blakeney,https://www.awm.gov.au/people/P10677852/#biography,1898,1898,"Australia: New South Wales, Grafton",1917-06-29,Private,1917-07-03,none,none,none,none,none,"N78992 - First World War, 1914-1918",none,none,none,none
Private Victor Harold Blanch,https://www.awm.gov.au/people/P10677683/#biography,none,none,"Australia: New South Wales, Uralla",none,Private,none,none,none,none,1917-05-09,none,"3288 - First World War, 1914-1918",28 November 1940,1940-11-28,none,none
Private John Blurton,https://www.awm.gov.au/people/P10677854/#biography,1898,1898,"Australia: Western Australia, Toodyay",1917-05-28,Private,1917-06-21,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Martin Blyth,https://www.awm.gov.au/people/P10677855/#biography,18 September 1893,1893-09-18,"Australia: Queensland, Kilkivan",none,Private,none,none,"1st Australian Divisional Train
37th Australian Army Service Corps Company",none,1918-10-16,none,"64321 - First World War, 1914-1918",none,none,none,none
Private Alfred Frederick Bolton,https://www.awm.gov.au/people/P10677685/#biography,none,none,"Australia: New South Wales, Windsor",none,Private,none,none,none,none,1914-10-18,none,"682 - First World War, 1914-1918",none,none,none,none
Private Alfred William Bolton,https://www.awm.gov.au/people/P10677686/#biography,none,none,"Australia: Western Australia, Meckering",none,Private,none,none,none,none,1918-10-29,none,"62776 - First World War, 1914-1918",none,none,none,none
Private Andy Bond,https://www.awm.gov.au/people/P10573419/#biography,1883,1883,"Australia: New South Wales, Braidwood",none,Private,none,none,none,none,1916-11-25,none,"4509 - First World War, 1914-1918",11 October 1943,1943-10-11,none,none
Private Robert Bond,https://www.awm.gov.au/people/P10677857/#biography,May 1891,1891-05,"Australia: Queensland, Gayndah",1917-07-05,Private,1917-07-21,none,none,none,none,none,"20518 - First World War, 1914-1918",none,none,none,none
William Bond,https://www.awm.gov.au/people/P10682701/#biography,none,none,"Australia: New South Wales, Cooma",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Albert Fraser Bongers,https://www.awm.gov.au/people/P10568275/#biography,none,none,"Australia: New South Wales, Sydney, Leichhardt",none,Private,none,none,1st Australian Light Horse Regiment,none,1914-10-20,none,"398 - First World War, 1914-1918",none,none,none,none
Private Albert William Bonser,https://www.awm.gov.au/people/P10387657/#biography,1890,1890,"Australia: New South Wales, Bourke",none,Private,none,none,none,none,1916-11-11,none,"6429 - First World War, 1914-1918",none,none,none,none
Private Walter Robert Bonser,https://www.awm.gov.au/people/P10564402/#biography,1894,1894,"Australia: New South Wales, Bourke",none,Private,none,none,3rd Australian Camel Battalion,none,1915-10-04,none,"1392 - First World War, 1914-19181392A - First World War, 1914-1918",none,none,none,none
Private Lawrence Henry Booth,https://www.awm.gov.au/people/P10677861/#biography,1880,1880,"Australia: New South Wales, Dalgety",none,Private,none,none,21st Australian Infantry Battalion,none,1916-07-28,none,"5303 - First World War, 1914-1918",13 October 1917,1917-10-13,Belgium,none
Private Thomas Bowen,https://www.awm.gov.au/people/P10677862/#biography,1875,1875,"Australia: Queensland, Charters Towers",none,Private,none,none,18th Australian Infantry Battalion,none,1917-02-07,none,"6522 - First World War, 1914-19186622 - First World War, 1914-1918",20 September 1917,1917-09-20,Belgium,none
Private Patrick Brady,https://www.awm.gov.au/people/P10677864/#biography,1898,1898,"Australia: Queensland, Charters Towers",1915-11-27,Private,1916-02-05,none,11th Australian Light Horse Regiment,none,none,none,"50271 - First World War, 1914-1918",none,none,none,none
Private Harry Frederick Bratt,https://www.awm.gov.au/people/P10272205/#biography,none,none,"Australia: Victoria, Bacchus Marsh",none,Private,none,"First World War, 1914-1918",Australian Imperial Force,none,none,none,none,16 January 1916,1916-01-16,"Australia: New South Wales, Sydney",none
Private John Brenell,https://www.awm.gov.au/people/P10677865/#biography,1880,1880,"Australia: Victoria, Bairnsdale",none,Private,none,none,34th Australian Infantry Battalion,none,1916-11-11,none,"3112 - First World War, 1914-1918",14 February 1918,1918-02-14,France,none
Private George Brewer,https://www.awm.gov.au/people/P10524616/#biography,none,none,"Australia: Victoria, Wangaratta",none,Private,none,none,none,none,1916-06-03,none,"1139 - First World War, 1914-1918",none,none,none,none
Private Shaw Briar,https://www.awm.gov.au/people/P10677866/#biography,1899,1899,"Australia: New South Wales, Forbes",1918-05-06,Private,1918-05-24,"First World War, 1914-1918",Depot,none,none,none,none,none,none,none,none
Private Benjamin Bridgewater,https://www.awm.gov.au/people/P10504164/#biography,1885,1885,"Australia: Queensland, North Queensland, Cloncurry",none,Private,none,none,9th Australian Infantry Battalion,none,1915-03-28,none,"4737 - First World War, 1914-19184444 - First World War, 1914-1918",none,none,none,none
Private Frederick John Briggs,https://www.awm.gov.au/people/P10677867/#biography,1894,1894,"Australia: New South Wales, Manilla",none,Private,none,none,33rd Australian Infantry Battalion,none,1916-05-04,none,"16 - First World War, 1914-1918",29 September 1917,1917-09-29,Belgium,none
Private Norman Briggs,https://www.awm.gov.au/people/P10677817/#biography,none,none,"Australia: New South Wales, Manilla",none,Private,none,none,34th Australian Infantry Battalion,none,1917-01-24,none,"3130 - First World War, 1914-1918",12 October 1917,1917-10-12,Belgium,none
Private Walter Bright,https://www.awm.gov.au/people/P10677868/#biography,1896,1896,"Australia: New South Wales, Narrandera",none,Private,none,none,4th Australian Infantry Battalion,none,1918-02-28,none,"7701 - First World War, 1914-1918",none,none,none,none
Private Charles Brockman,https://www.awm.gov.au/people/P10505849/#biography,10 September 1881,1881-09-10,"Australia: Western Australia, Carnarvon",none,Private,none,none,"112th Australian (Howitzer) Battery
24th Australian Field Artillery (Howitzer) Brigade",none,1915-12-22,none,"3859 - First World War, 1914-1918W30636 - Second World War, 1939-1945",none,none,none,none
Private Frederick Brook,https://www.awm.gov.au/people/P10677869/#biography,1885,1885,"Australia: New South Wales, Moruya",none,Private,none,none,3rd Australian Infantry Battalion,none,1916-08-22,none,"6158 - First World War, 1914-1918",5 October 1917,1917-10-05,Belgium,none
Private George Brook,https://www.awm.gov.au/people/P10677870/#biography,1883,1883,"Australia: New South Wales, Buckenbowra",1917-10-08,Private,1917-10-08,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Leslie Herbert Brook,https://www.awm.gov.au/people/P10620344/#biography,1893,1893,"Australia: New South Wales, Buckenbowra",none,Private,none,none,none,none,1916-10-07,none,"4004 - First World War, 1914-1918",13 May 1956,1956-05-13,"Australia: New South Wales, Araluen",none
Private Claud Eyre Brown,https://www.awm.gov.au/people/P10346702/#biography,1891,1891,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,none,none,1916-09-30,none,"6477 - First World War, 1914-1918",none,none,none,none
Private Frederick William Brown,https://www.awm.gov.au/people/P10556897/#biography,1879,1879,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,none,none,1917-06-14,none,"3427 - First World War, 1914-1918",none,none,none,none
Private George Ernest Brown,https://www.awm.gov.au/people/P10283110/#biography,none,none,"Australia: Tasmania, Flinders Island",none,Private,none,none,Depot,none,none,none,"T3120 - First World War, 1914-1918",11 July 1916,1916-07-11,"Australia: Tasmania, Hobart",none
Private Henry George Brown,https://www.awm.gov.au/people/P10582292/#biography,none,none,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,none,none,1916-03-29,none,"5054 - First World War, 1914-1918",13 December 1947,1947-12-13,none,none
Private Marcus Blake Norman Brown,https://www.awm.gov.au/people/P10677613/#biography,none,none,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,40th Australian Infantry Battalion,none,1916-10-21,none,"2291 - First World War, 1914-1918",11 June 1917,1917-06-11,France,none
Private Robert John Brown,https://www.awm.gov.au/people/P10573746/#biography,none,none,"Australia: New South Wales, Nelligen",none,Private,none,none,none,none,1916-10-07,none,"2616 - First World War, 1914-1918",none,none,none,none
Private Stephen James Brown,https://www.awm.gov.au/people/P10628823/#biography,1892,1892,"Australia: New South Wales, Glenbrook",none,Private,none,none,none,none,1915-08-16,none,"1154 - First World War, 1914-1918",28 September 1947,1947-09-28,"Australia: New South Wales, Lismore",none
Private Sydney Brown,https://www.awm.gov.au/people/P10499797/#biography,none,none,"Australia: Queensland, Winton",none,Private,none,none,none,none,1916-11-17,none,"7087 - First World War, 1914-1918",none,none,none,none
Private Willard Stanley Brown,https://www.awm.gov.au/people/P10677893/#biography,1899,1899,"Australia: Tasmania, Cape Barren Island",1916-06-27,Private,1916-07-13,none,none,none,none,none,"3206 - First World War, 1914-1918T3206 - First World War, 1914-1918",none,none,none,none
Private William Brown,https://www.awm.gov.au/people/P10677895/#biography,29 March 1900,1900-03-29,"Australia: Tasmania, Flinders Island",1916-07-20,Private,1916-07-25,none,none,none,none,none,"3395 - First World War, 1914-1918",none,none,none,none
Private William Bert Brown,https://www.awm.gov.au/people/P10588243/#biography,5 May 1899,1899-05-05,"Australia: Queensland, Kilkivan",none,Private,none,none,none,none,1917-12-19,none,"2422 - First World War, 1914-1918",none,none,none,none
Private Samuel Browning,https://www.awm.gov.au/people/P10351145/#biography,21 November 1889,1889-11-21,"Australia: New South Wales, Cudgen",none,Private,none,none,none,none,1917-10-31,none,"7782 - First World War, 1914-1918",none,none,none,none
Private James Budsworth,https://www.awm.gov.au/people/P10393395/#biography,none,none,"Australia: New South Wales, Narrabri",none,Private,none,none,none,none,1915-11-10,none,"2485 - First World War, 1914-1918",none,none,none,none
Private Joseph Budsworth,https://www.awm.gov.au/people/P10564426/#biography,1891,1891,"Australia: New South Wales, Sydney",none,Private,none,none,none,none,1915-10-23,none,"1381 - First World War, 1914-1918",none,none,none,none
Private Roderick Hamilton Budsworth,https://www.awm.gov.au/people/P10677617/#biography,17 July 1878,1878-07-17,"Australia: New South Wales, Coonamble",none,Private,none,none,1st Australian Infantry Battalion,none,1916-05-04,none,"18A - First World War, 1914-191818 - First World War, 1914-1918",5 November 1916,1916-11-05,France,none
Private Wilfred Ernest Budsworth,https://www.awm.gov.au/people/P10677896/#biography,29 October 1900,1900-10-29,"Australia: New South Wales, Tamworth",1918-06-05,Private,1918-06-20,none,none,none,none,none,"91395 - First World War, 1914-1918",none,none,none,none
Private Robert James Bull,https://www.awm.gov.au/people/P10614466/#biography,none,none,"Australia: Victoria, Casterton",none,Private,none,none,none,none,1916-07-08,none,"1888 - First World War, 1914-1918",none,none,none,none
Trooper Arthur Bundie,https://www.awm.gov.au/people/P10677897/#biography,4 May 1898,1898-05-04,"Australia: Queensland, Taroom",1918-05-28,Trooper,1918-12-16,none,none,none,none,none,"Q23572 - First World War, 1914-1918",none,none,none,none
Private Allan Montgomery Burgess,https://www.awm.gov.au/people/P10555164/#biography,none,none,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,none,none,1917-02-10,none,"3019 - First World War, 1914-1918",none,none,none,none
Private Sydney Burgess,https://www.awm.gov.au/people/P10677619/#biography,none,none,"Australia: Tasmania, Cape Barren Island",none,Private,none,none,52nd Australian Infantry Battalion,none,1916-03-29,none,"5055 - First World War, 1914-1918",none,none,none,none
Private Edward Burgoyne,https://www.awm.gov.au/people/P10677620/#biography,none,none,"Australia: Victoria, Melbourne",none,Private,none,none,27th Australian Infantry Battalion,none,1915-05-31,none,"313 - First World War, 1914-1918",4 October 1917,1917-10-04,Belgium,none
Private George Burgoyne,https://www.awm.gov.au/people/P10677898/#biography,1896,1896,"Australia: South Australia, Tarcoola",1917-06-25,Private,1917-09-05,none,Depot,none,none,none,"S12814 - First World War, 1914-1918",none,none,none,none
Private Albert Burke,https://www.awm.gov.au/people/P10521227/#biography,none,none,"Australia: Queensland, Mitchell",none,Private,none,none,none,none,1917-08-01,none,"3620 - First World War, 1914-1918",none,none,none,none
Sergeant James Ernest Burke,https://www.awm.gov.au/people/P10682705/#biography,none,none,"Australia: New South Wales, Casino",none,Sergeant,none,none,5th Australian Light Horse Regiment,none,1914-12-21,none,"529 - First World War, 1914-1918",none,none,none,none
Private Frederick Arthur Burnett,https://www.awm.gov.au/people/P10656786/#biography,12 July 1879,1879-07-12,"Australia: Queensland, Brisbane",none,Private,none,none,none,none,1917-12-19,none,"2423 - First World War, 1914-1918",none,none,none,none
Albert Burns,https://www.awm.gov.au/people/P10682707/#biography,1 October 1895,1895-10-01,"Australia: New South Wales, Narromine",none,none,none,"First World War, 1914-1918",none,none,none,none,none,none,none,none,none
Private Charles Burns,https://www.awm.gov.au/people/P10589763/#biography,21 September 1896,1896-09-21,"Australia: Western Australia, Wyndham",none,Private,none,none,none,none,1915-11-22,none,"1547 - First World War, 1914-1918WX8343 - Second World War, 1939-1945",none,none,none,none
Private Charles Thomas Burridge,https://www.awm.gov.au/people/P10475848/#biography,none,none,"Australia: Western Australia, Broomehill",none,Private,none,none,none,none,1916-12-23,none,"6964 - First World War, 1914-1918",none,none,none,none
Private Lewis Burton,https://www.awm.gov.au/people/P10662259/#biography,none,none,"Australia: Western Australia, Toodyay",none,Private,none,none,none,none,1916-12-29,none,"3009 - First World War, 1914-1918",none,none,none,none
Private Roland Elijah Bush,https://www.awm.gov.au/people/P10537894/#biography,1896,1896,"Australia: New South Wales, Jerrawa",none,Private,none,none,none,none,1916-11-11,none,"3107 - First World War, 1914-1918",none,none,none,none
Gunner Walter Amos Charles Bush,https://www.awm.gov.au/people/P10600198/#biography,none,none,"Australia: New South Wales, Gunning",none,Gunner,none,none,none,none,1916-09-30,none,"28860 - First World War, 1914-1918",none,none,none,none
